Date,Price,Open,High,Low,Vol,Co,Hl,Ind,Rvn,Gap,Gaug,rVol,Tckr
2004-03-04,1.3335,1.3417,1.3428,1.3314,0.0,-0.6111649400014851,0.8562415502478604,28.62236832298454,-0.5073491009475628,0.10445422666565118,18.421052631578743,NaN,CAD
2004-03-05,1.3217,1.3333,1.3363,1.3162,0.0,-0.870021750543748,1.5271235374563208,43.028724971856924,-0.884889388826382,-0.014998125234344517,27.36318407960228,NaN,CAD
2004-03-08,1.3177,1.3218,1.3269,1.3175,0.0,-0.3101830836737762,0.713472485768496,56.52487098508479,-0.3026405387001607,0.007566013467497079,2.127659574470196,NaN,CAD
2004-03-09,1.3247,1.3179,1.3264,1.3173,0.0,0.5159723803019878,0.6908069536172512,25.30874543166981,0.5312286559914892,0.01517796159975493,81.31868131868116,NaN,CAD
2004-03-10,1.3244,1.3248,1.3303,1.3193,0.0,-0.03019323671497043,0.8337754870006986,96.37873298199457,-0.022646636974410495,0.007548878991459063,46.36363636363681,NaN,CAD
2004-03-11,1.3172,1.3241,1.3297,1.3166,0.0,-0.5211086775923413,0.9949870879538247,47.62658893755164,-0.543642404107525,-0.022651766837811227,4.580152671755182,NaN,CAD
2004-03-12,1.3336,1.3172,1.3386,1.3161,0.0,1.2450652900091175,1.7095965352176945,27.1719809697336,1.2450652900091175,0.0,77.77777777777723,NaN,CAD
2004-03-15,1.3332,1.3345,1.3355,1.3278,0.0,-0.09741476208318112,0.5799066124416274,83.20164661116246,-0.029994001199751263,0.06748650269947642,70.12987012986983,NaN,CAD
2004-03-16,1.3332,1.3332,1.3351,1.3246,0.0,0.0,0.7926921334742598,100.0,0.0,0.0,81.9047619047617,NaN,CAD
2004-03-17,1.3392,1.3331,1.3438,1.3303,0.0,0.4575800765133975,1.01480868976922,54.909720312164765,0.4500450045004545,-0.0075007500750068345,65.92592592592491,NaN,CAD
2004-03-18,1.3266,1.339,1.3416,1.3242,0.0,-0.926064227035095,1.314000906207502,29.523318997707413,-0.9408602150537626,-0.014934289127832567,13.79310344827573,NaN,CAD
2004-03-19,1.3321,1.3269,1.3346,1.3257,0.0,0.39189087346447327,0.6713434412008779,41.625872926758426,0.4145936981758025,0.022614201718673677,71.91011235955087,NaN,CAD
2004-03-22,1.3334,1.3336,1.3354,1.3247,0.0,-0.014997000599881183,0.8077300520872521,98.14331526218103,0.0975902710006693,0.11260415884692954,81.30841121495314,NaN,CAD
2004-03-23,1.332,1.333,1.335,1.3287,0.0,-0.07501875468866048,0.47414766312936507,84.178187403996,-0.10499475026247707,-0.029998500074990275,52.38095238095389,NaN,CAD
2004-03-24,1.3383,1.332,1.3429,1.33,0.0,0.4729729729729737,0.9699248120300652,51.236119840770435,0.4729729729729737,0.0,64.34108527131806,NaN,CAD
2004-03-25,1.3301,1.3379,1.3425,1.3264,0.0,-0.5830032139920838,1.2138118214716442,51.96922589819222,-0.6127176268400203,-0.029888664723898284,22.98136645962755,NaN,CAD
2004-03-26,1.3183,1.3302,1.3313,1.3167,0.0,-0.8946023154412841,1.1088326877800592,19.320351456059203,-0.8871513420043664,0.007518231711900469,10.958904109589396,NaN,CAD
2004-03-29,1.309,1.318,1.3213,1.3061,0.0,-0.6828528072837736,1.1637700022969044,41.32407555306944,-0.7054539937798698,-0.022756580444505126,19.07894736842056,NaN,CAD
2004-03-30,1.3058,1.309,1.3097,1.3049,0.0,-0.2444614209319962,0.3678442792551362,33.54214413038672,-0.2444614209319962,0.0,18.750000000002025,NaN,CAD
2004-03-31,1.3096,1.3063,1.3149,1.3011,0.0,0.25262190920922745,1.0606409960802532,76.18214738607814,0.29100934293153635,0.038290703017307415,61.594202898551835,NaN,CAD
2004-04-01,1.3073,1.3098,1.3188,1.3057,0.0,-0.19086883493664164,1.003293252661397,80.97576810864308,-0.17562614538791932,0.015271838729380427,12.213740458014025,NaN,CAD
2004-04-02,1.3141,1.3068,1.3188,1.3041,0.0,0.5586164677073846,1.1272141706924366,50.44273907910224,0.5201560468140576,-0.03824676814808692,68.0272108843541,NaN,CAD
2004-04-05,1.3142,1.3143,1.3177,1.3101,0.0,-0.007608612949860927,0.5801083886726177,98.68841528610358,0.007609770945893324,0.015219541891786648,53.94736842105217,NaN,CAD
2004-04-06,1.3111,1.3138,1.318,1.3038,0.0,-0.20551073222714322,1.0891240987881634,81.13064136072198,-0.23588494901841672,-0.030436767615271698,51.408450704224414,NaN,CAD
2004-04-07,1.3108,1.3112,1.3168,1.3061,0.0,-0.03050640634533197,0.8192328305642649,96.27622267965994,-0.02288154984364521,0.007627183281222472,43.925233644859404,NaN,CAD
2004-04-08,1.3261,1.311,1.329,1.3087,0.0,1.1517925247902516,1.5511576373500313,25.746262207240754,1.167226121452547,0.015257857796768803,85.71428571428618,NaN,CAD
2004-04-09,1.3302,1.3261,1.331,1.3254,0.0,0.3091772867807929,0.4225139580503967,26.824361446559642,0.3091772867807929,0.0,85.71428571428741,NaN,CAD
2004-04-12,1.3274,1.3254,1.3403,1.3251,0.0,0.15089784216084645,1.1470832390008345,86.84508351004364,-0.21049466245678383,-0.36084799278305324,15.131578947368114,NaN,CAD
2004-04-13,1.335,1.3275,1.3413,1.3274,0.0,0.5649717514124353,1.0471598613831512,46.04723001259933,0.5725478378785676,0.007533524182612439,54.676258992806034,NaN,CAD
