Date,Price,Tckr,Rvn,Title,Freq,Units,Adjustment,LastUpdt,Popularity,Since,Notes
2019-05-06,2.42,SOFR,-0.4115226337448655,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-07,2.44,SOFR,0.8264462809917362,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-08,2.43,SOFR,-0.40983606557376173,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-09,2.41,SOFR,-0.8230452674897125,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-10,2.4,SOFR,-0.4149377593361091,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-13,2.38,SOFR,-0.8333333333333341,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-14,2.39,SOFR,0.4201680672269005,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-15,2.48,SOFR,3.7656903765690317,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-16,2.43,SOFR,-2.0161290322580574,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-17,2.42,SOFR,-0.4115226337448655,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-20,2.39,SOFR,-1.2396694214875952,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-21,2.38,SOFR,-0.4184100418410139,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-22,2.37,SOFR,-0.4201680672268818,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-23,2.37,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
